client_id,address,name,birth,gender
1,"123 Main St, Cityville","Alice Smith","1990-01-01","F"
2,"234 Elm St, Townsville","Bob Johnson","1985-07-15","M"
3,"345 Oak St, Villagetown","Charlie Brown","2000-02-20","M"
4,"456 Maple St, Hamlet","Diana Greene","1995-03-25","F"
5,"567 Pine St, Cityville","Eva Adams","1992-12-30","F"
6,"678 Cedar St, Townsville","Frank White","1989-05-10","M"
7,"789 Birch St, Villagetown","Grace Hill","1991-11-11","F"
8,"890 Spruce St, Hamlet","Hank Smith","1994-09-05","M"
9,"901 Willow St, Cityville","Ivy Wilson","1987-08-28","F"
10,"101 Cherry St, Townsville","Jack Black","1998-04-14","M"
11,"202 Peach St, Villagetown","Kathy Blue","1993-06-30","F"
12,"303 Plum St, Hamlet","Leo Green","1996-01-18","M"
13,"404 Almond St, Cityville","Mona White","1988-03-07","F"
14,"505 Walnut St, Townsville","Nina Brown","2001-02-22","F"
15,"606 Hazelnut St, Villagetown","Owen Taylor","1980-10-10","M"
16,"707 Chestnut St, Hamlet","Paula Hall","1997-11-23","F"
17,"808 Acorn St, Cityville","Quinn Young","1986-04-04","M"
18,"909 Chestnut St, Townsville","Rita Black","1995-02-14","F"
19,"123 Grove St, Villagetown","Sam Grant","1994-07-30","M"
20,"234 Field St, Hamlet","Tina Fox","1990-03-15","F"
21,"345 Hill St, Cityville","Ursula Stone","1990-09-20","F"
22,"456 Ridge St, Townsville","Victor Lee","1993-10-11","M"
23,"567 Stream St, Villagetown","Wendy King","1991-05-24","F"
24,"678 River St, Hamlet","Xander Scott","1998-01-29","M"
25,"789 Lake St, Cityville","Yvonne Lee","1987-12-12","F"
26,"890 Pond St, Townsville","Zachary Ray","1992-08-21","M"
27,"901 Stream St, Villagetown","Ava Bell","1993-10-30","F"
28,"101 Flow St, Hamlet","Ben Clark","1985-06-16","M"
29,"202 Leafs St, Cityville","Claire Price","1994-04-12","F"
30,"303 Roots St, Townsville","Daniel Harris","1995-11-15","M"
