courier_id,bike_id,passport,bank_details
1,1,"Y1234567","Bank A"
2,2,"Y2345678","Bank B"
3,3,"Y3456789","Bank C"
4,4,"Y4567890","Bank D"
5,5,"Y5678901","Bank E"
6,6,"Y6789012","Bank F"
7,7,"Y7890123","Bank G"
8,8,"Y8901234","Bank H"
9,9,"Y9012345","Bank I"
10,10,"Y0123456","Bank J"
11,11,"Y1234567","Bank K"
12,12,"Y2345678","Bank L"
13,13,"Y3456789","Bank M"
14,14,"Y4567890","Bank N"
15,15,"Y5678901","Bank O"
16,16,"Y6789012","Bank P"
17,17,"Y7890123","Bank Q"
18,18,"Y8901234","Bank R"
19,19,"Y9012345","Bank S"
20,20,"Y0123456","Bank T"
21,21,"Y1234567","Bank U"
22,22,"Y2345678","Bank V"
23,23,"Y3456789","Bank W"
24,24,"Y4567890","Bank X"
25,25,"Y5678901","Bank Y"
26,26,"Y6789012","Bank Z"
27,27,"Y7890123","Bank AA"
28,28,"Y8901234","Bank AB"
29,29,"Y9012345","Bank AC"
30,30,"Y0123456","Bank AD"
