Client_id,Address,Name,Birth,Gender,Value
1,"ул. Ленина, д.10","Иван Иванов",1985-06-15,M,0.7
2,"пр. Мира, д.5","Мария Петрова",1990-11-23,F,0.44
3,"ул. Победы, д.12","Антон Смирнов",1977-03-02,M,0.45
4,"ул. Цветочная, д.3","Екатерина Кузнецова",1995-08-09,F,0.10
5,"пр. Советский, д.8","Алексей Волков",1988-12-19,M,0.12
6,"ул. Гагарина, д.44","Ольга Морозова",1992-04-25,F,0.50
7,"ул. Кирова, д.2","Николай Федоров",1980-09-30,M,0.60
8,"ул. Лермонтова, д.16","Татьяна Алексеева",1987-01-11,F,0.40
9,"ул. Пушкина, д.21","Дмитрий Павлов",1999-07-17,M,0.50
10,"ул. Садовая, д.7","Светлана Борисова",1994-05-21,F,0.45
11,"ул. Мира, д.14","Максим Соколов",1986-02-02,M,0.50
12,"пр. Победы, д.19","Наталья Васильева",1993-10-23,F,0.47
13,"ул. Комсомольская, д.8","Павел Егоров",1989-12-05,M,0.80
14,"ул. Чехова, д.11","Ирина Никитина",1991-03-18,F,0.10
15,"ул. Ленина, д.33","Виктор Иванов",1984-07-09,M,0.10
16,"ул. Горького, д.29","Людмила Козлова",1997-11-30,F,0.60
17,"пр. Победы, д.40","Андрей Крылов",1983-08-26,M,0.90
18,"ул. Чехова, д.2","Юлия Семёнова",1990-06-09,F,0.20
19,"ул. Солнечная, д.5","Сергей Михайлов",1996-05-12,M,0.00
20,"ул. Ворошилова, д.15","Елена Савина",1982-09-14,F,0.30
21,"ул. Ленина, д.24","Игорь Новиков",1985-03-30,M,0.90
22,"ул. Парковая, д.9","Алла Воронова",1991-01-05,F,0.20
23,"пр. Ленина, д.50","Роман Киселёв",1987-04-17,M,0.10
24,"ул. Молодёжная, д.18","Алина Дмитриева",1995-12-21,F,0.00
25,"ул. Октябрьская, д.6","Владимир Борисов",1988-10-29,M,0.50
26,"ул. Максима Горького, д.4","Ксения Власова",1994-07-13,F,0.70
27,"ул. Карла Маркса, д.22","Олег Ткачёв",1979-11-08,M,0.00
28,"пр. Революции, д.30","Марина Орлова",1992-02-15,F,0.40
29,"ул. Комсомольская, д.12","Денис Лебедев",1986-09-07,M,0.80
30,"ул. Молодёжная, д.26","Ангелина Соколова",1993-03-23,F,0.40
